"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"9",0.46801770724239,0.374860716987915,3.4814161803525,NA,NA,NA,0.0049479300859944,NA,NA,NA,NA,NA,NA,5,-47.3687597767256,105.646610462542,5.41172494448946,0.00589915070709522
"656",1.185749338428,-4.69277903144497,3.62510913837145,-0.135943725155871,-15.9004228173971,-5.5693323350381,3.45539471432002,NA,NA,NA,-1.74897691091694,NA,5.05471853507764,10,-41.0311020255711,105.668761428191,5.43387591013874,0.00583417524624951
"144",1.16639603534503,-0.703766248201413,4.1190053708427,0.238134728520973,-6.08071138412321,0.708165911836078,0.344311460932661,NA,NA,NA,9.91397932054297,NA,NA,9,-42.4079748433335,105.719175493119,5.48428997506603,0.00568895102670128
"80",0.945192768994693,-2.07582993441,4.06699300312302,0.216644039427554,-10.2656981619298,-2.072205491692,0.0975022453318171,NA,NA,-0.661961873797347,NA,NA,NA,9,-42.4222000434034,105.747625893258,5.51274037520588,0.0056085974380957
"46",87.4327375759021,-1.28140090589052,101.716026789668,0.449232179151313,NA,-2.57550018329889,-0.302719229331267,NA,2.52289204898468,NA,NA,NA,NA,8,-43.8121743179128,105.91006292154,5.67517740348731,0.00517108309702019
"576",41.5374617828881,-4.83769419783196,46.761128272725,1.58678538599182,-14.065209223089,-4.97366769309606,2.16280272985267,6.54968631354886,2.35588261476256,NA,NA,NA,3.10133944249186,11,-39.8078249201487,106.015649840297,5.78076432224475,0.00490516486327978
"304",0.849992213207851,-3.81417057314892,3.40693546625869,1.510362641696,-11.8017395451253,-4.60264671400002,0.285876338215766,NA,2.85138715461558,NA,NA,2.02458658261511,NA,10,-41.2526802675652,106.11191791218,5.87703239412696,0.00467465174903743
"736",0.635639314036847,-5.90511221576451,3.67202155518,0.939060785672023,-19.1993325580538,-7.43259206911177,5.144848787508,7.05877244279421,NA,-1.43969197668462,-6.37676087457936,NA,8.89912911217519,12,-38.413483617967,106.115102829154,5.88021731110169,0.00466721348432
"152",0.98391135483162,-0.406086637457896,3.92719046123341,-0.148421340525049,-5.05533991146103,0.747519634305711,NA,-1.55870516128612,NA,NA,9.69258583442806,NA,NA,9,-42.6182901221406,106.139806050733,5.90492053268021,0.00460992043898441
"176",0.895926397367425,-2.22994923214083,3.43192165960767,1.23388806018277,-7.47768634564252,-2.02470033333793,0.100808185555316,NA,2.37005060152049,NA,7.17517631250939,NA,NA,10,-41.2669774012625,106.140512179574,5.90562666152161,0.00460829312738496
"256",0.47473240040838,-2.81978078047128,3.3700564636114,4.04814652557902,-8.64019222608762,-2.80196152361373,-0.314122154540996,11.8819965786814,4.11549080412399,-1.33848163378539,5.17072723633886,NA,NA,12,-38.4573936995927,106.202922992406,5.96803747435311,0.00446671003543956
"320",27.7777681970824,-4.24446829093772,30.6441483176755,3.40812097566125,-11.4281285627259,-4.49874396070729,-0.0955625125087781,11.1217261833939,4.13951011432639,NA,NA,-2.81001636067614,NA,11,-39.9518864291924,106.303772858385,6.0688873403322,0.0042470609166346
"525",0.576399010075204,-0.105226359762459,3.59538921473324,NA,NA,-1.52884041732822,0.622280815052484,NA,NA,NA,NA,NA,1.18460141120897,7,-45.3099583215472,106.369916643094,6.13503112504192,0.00410889979266683
"272",0.812034921063617,-2.53393097192931,3.76249791676649,0.251843581583996,-11.6841507386,-2.6610641762427,-0.0293617381338693,NA,NA,NA,NA,-3.52543978345838,NA,9,-42.7372736696301,106.377773145712,6.14288762765925,0.00409279066274966
"864",0.808374820187737,-4.52977412590714,3.79138214724168,0.762001885635729,-15.543105858929,-5.01637034387127,4.48158934476237,5.9271082350602,NA,-1.39815202482531,NA,0.228877992970613,7.78081698454837,12,-38.5504359813259,106.389007555872,6.1541220378196,0.00406986506741295
"384",0.449006253593763,-3.76466099165437,3.35809310144114,4.29431809832863,-11.2979700115655,-4.53658337400435,-0.32124809008699,12.8369730336011,4.25735917461853,-1.29490662557545,NA,-0.635912473808761,NA,12,-38.5860071676995,106.460149928619,6.22526441056672,0.00392763969743015
"32",0.891368121631866,-2.43130693066406,3.85452515981362,0.0106477782673582,-11.0153978042224,-2.54743712824269,0.334827019560461,-1.39574420753877,NA,NA,NA,NA,NA,9,-42.8264597639325,106.556145334317,6.32125981626405,0.00374357469863529
"240",0.583646665210749,-1.2383069059694,3.46563678131669,1.14542402887914,-4.84648664623713,-0.665665594130655,-0.259053953442207,NA,2.40789962846779,-1.00002288423812,10.0758450860514,NA,NA,11,-40.1185682608396,106.637136521679,6.40225100362659,0.00359500493183519
