"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"32",1.2966166396955,1.4071271371678,3.00360920923634,-0.241134152250466,-0.13709860033487,0.386213714107551,0.327296179662686,-0.647868855101167,NA,NA,NA,NA,NA,9,-143.395241384154,307.693708574759,8.08960328132866,0.00277268354116717
"74",1.43501060836632,1.51346666074538,3.16621918667608,-0.134036496912743,NA,NA,0.170043486749169,NA,NA,-0.10642796394147,NA,NA,NA,7,-145.992917258261,307.735834516522,8.1317292230919,0.00271489334165044
"784",1.22636078077909,1.36818026786704,3.00609501680979,-0.126380515310652,-0.782569221147605,0.482547957530702,0.471336723290363,NA,NA,NA,NA,0.373185439703185,0.578966172774516,10,-142.107290242593,307.821137862234,8.21703256880409,0.00260153328163583
"592",1.27450357153464,1.57019093331578,3.01370241957143,-0.209171980202413,-0.0605221423343673,0.597155571616972,0.51057421277351,NA,NA,-0.194714978867483,NA,NA,0.520046699450443,10,-142.154198341216,307.91495405948,8.31084876605013,0.00248231823640235
"12",1.40593410666481,1.469938803986,3.14786576185262,-0.100178429272601,0.000502786739429255,NA,0.136157414787611,NA,NA,NA,NA,NA,NA,7,-146.091795752183,307.933591504366,8.3294862109355,0.00245929364823447
"272",1.27336652001637,1.29661111564087,3.02410833600052,-0.0262511580085638,-0.517039707113737,0.288946103622752,0.24332745030005,NA,NA,NA,NA,0.266149377328189,NA,9,-143.52641236932,307.956050545091,8.35194525166094,0.00243183144241969
"560",1.26829779685145,1.49956909442151,3.00920277361517,-0.177832171663744,-0.0136362895348529,0.586508442289872,0.371027877174393,NA,0.166152908898154,NA,NA,NA,0.345851276903689,10,-142.217947743146,308.042452863341,8.43834756991112,0.00232901048857989
"304",1.29188394289822,1.34182580876615,3.00026575132156,-0.148929383177736,-0.580480367783131,0.425986887279155,0.294940618881138,NA,0.280191516821453,NA,NA,0.288928679410537,NA,10,-142.272364690732,308.151286758513,8.54718146508236,0.00220565947711794
"20",1.37664767327218,1.49951870243002,3.16288803790545,-0.0930676188580126,0.00608302311113596,NA,NA,-0.168743752233933,NA,NA,NA,NA,NA,7,-146.20642253335,308.1628450667,8.55873977326928,0.00219294939326346
"152",1.22594170121984,1.64359091301578,3.08468863883783,0.0023221570286611,0.241946391039555,0.788111673401427,NA,-0.055504150079009,NA,NA,1.34423884699915,NA,NA,9,-143.634209607701,308.171645021854,8.56753972842375,0.00218332166153952
"911",1.21063023188573,1.27937189189789,2.99475215603539,NA,-0.98300656453608,0.300949155203588,0.415435647424133,NA,NA,NA,-0.560381851797945,0.445468472003753,0.592747029695279,10,-142.299017473668,308.204592324385,8.60048703095492,0.00214764901796839
"112",1.32125845489595,1.50064918647739,3.01096931279202,-0.212961120522094,-0.0233444335804148,0.514972743089813,0.33620220304695,NA,0.253209981280757,-0.14472635821117,NA,NA,NA,10,-142.341562251872,308.289681880794,8.68557658736336,0.00205819417780365
"544",1.25266021591961,1.50016884726179,3.00553494823757,-0.216268665236459,-0.0852879558281616,0.572063255880611,0.443552958973197,-0.283988034367055,NA,NA,NA,NA,0.497221101648953,10,-142.458778241621,308.52411386029,8.92000856686008,0.00183054364386633
"176",1.28516627874549,1.52359226600789,3.01478039824234,-0.156693411664877,0.0736484038609977,0.660150868813812,0.249286032945937,NA,0.249903265303285,NA,0.496138883778763,NA,NA,10,-142.468135424795,308.54282822664,8.93872293320942,0.00181349480065099
