"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"14",0.840597338489187,2.83342331617561,4.39066990838891,-0.27295157854353,NA,-0.318716098494432,-1.31298808029278,NA,NA,NA,NA,NA,NA,7,-114.958694579779,245.667389159558,6.03710721276721,0.00478968936384114
"80",28.5540088789657,0.136803374166326,25.9662865782761,-0.0519955549242116,-9.25211113054526,-0.842256185538043,-0.468915957879729,NA,NA,-0.378795538897251,NA,NA,NA,9,-112.462937323622,245.829100453696,6.19881850690498,0.00441765897130994
"76",34.5400406385033,0.695641624600091,31.2220299911784,-0.32671348994409,-7.19745678053238,NA,-0.0680076492078147,NA,NA,-0.383361668447238,NA,NA,NA,8,-113.797480293281,245.880674872277,6.25039292548541,0.0043051961579559
"32",34.2366922665368,-0.0614497097750928,30.4521772710989,-0.556831508836966,-9.83569962815035,-0.848152203024188,-0.666632039577127,-2.27779763547145,NA,NA,NA,NA,NA,9,-112.514688674746,245.932603155944,6.30232120915326,0.00419485410142338
"448",10.3960304305859,-7.78087511653969,12.1367790872517,0.418172564121063,-30.6351195408399,-12.9736282108523,-2.1187994444696,5.79568291248008,2.15143910238081,NA,-34.3490494708062,-15.8300631765376,NA,12,-108.327814237074,245.943764067369,6.31348212057807,0.00417151009955522
"320",26.4160508838171,-0.0149988369754167,22.875948078504,0.0206937263402718,-10.5085332784156,0.333458029703505,-1.26774585025737,4.63493382135137,1.43548220760565,NA,NA,-13.7362867108798,NA,11,-109.779782848013,245.959565696027,6.32928374923563,0.00413868162938221
"184",37.6268009808111,-5.18191653298887,34.186654889189,-0.315731283630187,-22.3686916924155,-9.34173914234217,NA,1.03610299231704,1.26649367167394,NA,-23.2220244079886,NA,NA,10,-111.192255729105,245.991068835258,6.36078688846717,0.00407400164057035
"176",37.2435543596153,-5.79242650152618,33.8032103206634,-0.648480835448258,-24.0213634626336,-10.4528129204953,0.150665497265447,NA,1.28481069695589,NA,-26.1051548634155,NA,NA,10,-111.196794432786,246.000146242622,6.36986429583052,0.00405555285278582
"28",32.690460236113,0.547127897701384,29.4572133039571,-0.636730615177843,-7.74008740361764,NA,-0.373126377858482,-2.0966666045059,NA,NA,NA,NA,NA,8,-113.914863525329,246.115441336372,6.48515938958118,0.00382837132003429
"74",0.785623715471782,2.9702637342868,4.33491289563229,-0.118696703843032,NA,NA,-1.10695682660211,NA,NA,-0.179603518730372,NA,NA,NA,7,-115.185479142854,246.120958285708,6.49067633891642,0.00381782540673424
"816",35.3956652353442,-0.948363766889458,24.7966019564032,-0.736039590691301,-13.6577142447548,-0.498478992307763,-2.68983337119432,NA,0.858908297353903,NA,NA,-18.5218801912776,-1.32362249230996,11,-109.877956177346,246.155912354692,6.52563040790105,0.0037516808295719
"655",31.8662596461716,-0.585510395501078,29.3248085980207,NA,-10.6615328667003,-1.74682421950769,-0.94163990840137,NA,NA,NA,-1.77631341051607,NA,-0.342083896370439,9,-112.668693311578,246.240612429608,6.61033048281732,0.00359611437875844
"528",34.3432297511092,-0.184641298426583,31.3402061117228,-0.0885019732381164,-9.51066138990902,-1.07908783449334,-0.94159160859857,NA,NA,NA,NA,NA,-0.414596969057348,9,-112.675105512457,246.253436831366,6.62315488457489,0.00357312914270979
"144",32.0080234498161,-0.490741621097869,29.3588422692878,0.0384277077095423,-10.7037855797161,-1.5623138590568,-0.766489973104683,NA,NA,NA,-1.79179695449974,NA,NA,9,-112.698812415299,246.30085063705,6.67056869025888,0.00348941750963606
"6",1.23352862159738,2.89940034068776,4.18237609481377,-0.608657355949158,NA,-0.212764205878517,NA,NA,NA,NA,NA,NA,NA,6,-116.611465680532,246.515239053372,6.8849571065804,0.00313472236840453
"152",34.5482285524873,-1.41352267409019,30.521659566373,-1.02306987060456,-13.3026063391263,-3.46110322964034,NA,-3.57387285730709,NA,NA,-7.05835466638406,NA,NA,9,-112.806815613893,246.516857034237,6.88657508744615,0.00313218743350607
"880",25.0941876632881,-1.2234204262192,14.5570150479829,-1.40888182950191,-14.7346208129032,-1.24973634152418,-3.24867980606247,NA,0.602354546558707,-1.36129403631592,NA,-21.6790345721379,-2.62413102774333,12,-108.621583687467,246.531302968155,6.90102102136359,0.00310964525587184
"288",32.0530356133666,-0.654237248017544,20.696979780739,-0.938024727400414,-13.6608250506393,-0.387936635276426,-1.70610629711002,-3.35256663774656,NA,NA,NA,-11.9595223408031,NA,10,-111.467029566523,246.540616510096,6.91033456330481,0.00309519801496939
"496",42.4448290424684,-4.71534093224765,29.4393268261138,-1.3027787352061,-24.1099104442717,-7.38602779059891,-1.08256692204572,NA,1.38782116083722,-0.71327894380019,-19.4090996356594,-15.1822959920496,NA,12,-108.708091433469,246.704318460159,7.07403651336736,0.00285194411701971
"800",24.1707938881207,-2.01336567397168,21.3378881249096,-1.05329612925513,-16.2312614326979,-1.7594509712855,-4.05987676228458,-2.59692740964847,NA,NA,NA,-19.5557897378274,-2.78607702611473,11,-110.271348635219,246.942697270437,7.31241532364589,0.00253149871015075
"976",8.15934959884488,-1.56998976450133,9.25769934186754,-0.827931516110895,-13.9747784772055,-2.62062135909659,-3.64795057205395,NA,NA,-1.16148310321951,-2.23407789968348,-17.1954323028551,-2.88552484372558,12,-108.910658395466,247.109452384152,7.47917043736086,0.00232898825056993
"400",25.4596504183519,0.00913249248308566,22.3227035792194,0.0822749173794253,-11.4246549087007,0.512388552006058,-1.78028944969381,NA,NA,NA,2.55994594193389,-10.2967877799735,NA,10,-111.774385530646,247.155328438341,7.5250464915498,0.00227617389916988
"864",22.3841865599355,-1.75459550594452,13.2175606969969,-1.94876504473918,-16.1570658150532,-1.90015074695343,-3.83987531997465,-2.59520555060138,NA,-1.49223114602988,NA,-22.1978306688483,-3.27640419290459,12,-108.970136605928,247.228408805077,7.59812685828538,0.00219450330369506
"38",1.89730353695724,2.65708967826201,3.95611066756429,-0.967091850666461,NA,0.0689609630612753,NA,NA,0.746475278706634,NA,NA,NA,NA,7,-115.79082640003,247.33165280006,7.701370853269,0.00208409297807785
"912",32.4881625414251,-2.45282621740882,29.0288284063265,-0.434439884291368,-16.7945649604725,-2.48403226526009,-4.44878960507901,NA,NA,NA,-1.19541049029152,-19.5462408813869,-3.20201315386805,11,-110.552562724504,247.505125449007,7.87484350221598,0.00191094410094264
"384",34.5642175238331,0.0150794460571071,23.9592929942372,-0.58146458180657,-11.9828681317579,0.250119668054197,-1.1361654495698,2.54958855771684,1.14427989249101,-0.898571549084075,NA,-16.0657206246948,NA,12,-109.108612486352,247.505360565924,7.87507861913264,0.00191071946650428
"112",33.0313963812138,0.325582891164681,29.1809088325744,-0.338177989111426,-8.42208524089057,-0.525667223330368,-0.143908437771528,NA,0.5054526074315,-0.256789598196201,NA,NA,NA,10,-111.990339702567,247.587236782184,7.95695483539259,0.00183407771409588
