"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"672",0.964059055688017,3.13844807262829,3.41112665624711,0.0785630263207721,0.490044677610587,0.531366999597172,-0.793671950209745,1.46307482747608,NA,NA,3.06759311392615,NA,-0.610498442500058,11,-201.112499447842,428.624998895683,9.59486015519468,0.00117942987512401
"622",1.04224786347483,2.77443705027735,3.40138325486327,-0.348696840610571,NA,-0.470220527820775,-0.685131332638808,NA,0.135781829702577,0.111477971144717,NA,NA,-0.596033449717092,10,-202.574364505021,428.755286387091,9.72514764660207,0.00110504650420938
"590",2.54972022232366,2.65984324659023,4.67175490100796,-0.447055397480889,NA,-0.418668240367656,-0.505803362109443,NA,NA,0.0507934253370056,NA,NA,-0.391480793752524,9,-204.229792246116,429.362810298683,10.3326715581942,0.00081556468840597
"224",0.907549938454008,3.26520548919348,3.3965120187755,0.102867492664006,0.371687814361416,0.728810135600512,-0.519841481889859,1.45552702203117,NA,0.0135106541218426,2.70254055322978,NA,NA,11,-201.506612759326,429.413225518651,10.3830867781629,0.000795263202781681
"128",0.941279394626517,2.91148087720398,3.40731827616804,-0.0438061938008858,-0.0439254099029526,-0.138206628703254,-0.452833124878469,1.28838731398407,0.239865045468934,0.0866401192896374,NA,NA,NA,11,-201.680311666924,429.760623333847,10.7304845933589,0.000668458439579504
"608",0.894728320152123,2.79734120253341,3.40426585605899,-0.100184893366747,-0.0789019327421516,-0.511897611533886,-0.616378090070698,0.962063704173046,NA,-0.0519765994364151,NA,NA,-0.515826449233409,11,-201.773557093751,429.947114187502,10.9169754470134,0.000608945515455921
"720",1.13545978696147,2.94611167207945,3.35553993441196,-0.309994794757856,-0.0181597409744237,0.119236673045975,-0.573081786487785,NA,NA,0.0440359789016506,1.88128927626511,NA,-0.626242802709163,11,-201.838696857929,430.077393715858,11.0472549753698,0.000570543282417561
"624",1.10358512929185,2.76310309896107,3.36698558967283,-0.376052528818704,-0.297704551745219,-0.422758140943269,-0.487460545464069,NA,0.140922045683178,0.0574223465964988,NA,NA,-0.489689211348684,11,-201.9905080613,430.3810161226,11.3508773821114,0.000490182529325971
"832",1.07997104445982,2.49140471963587,3.3661332310202,-0.0749706107306728,-1.71533442511179,-0.473400360298008,-0.484022049293179,0.548124070237139,0.124265406674152,NA,NA,0.770526859331423,-0.257170150364947,12,-200.547432577666,430.383000748553,11.3528620080647,0.000489696356099089
"384",1.07735417055583,2.53694301499518,3.35728538552309,-0.0656407687268025,-1.81636669383768,-0.345414352845587,-0.379596399240672,0.526250864998476,0.131163782052997,0.0217420349896585,NA,0.806995334170711,NA,12,-200.613047203007,430.514229999234,11.4840912587454,0.000458596570523222
