"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"48",126.254075739105,0.84375103056725,189.585436768261,0.123614916600817,0.185242920650214,-0.0942725890494703,-0.301326159268601,NA,0.506486337994008,NA,NA,NA,NA,9,-85.4129625354562,191.729150877364,5.74344613310473,0.00715141344865329
"558",226.890756482493,0.922636991584339,340.318028221103,0.0864836330811983,NA,0.0479120909833296,0.0215300731988721,NA,0.456826822414201,NA,NA,NA,0.429107311028891,9,-85.4147356365145,191.732697079481,5.74699233522136,0.00713874450487696
"152",129.398689678191,0.442504789685388,194.9670674758,-0.214490879241675,-0.576880562632764,-0.897908687659481,NA,-2.21421384210232,NA,NA,-1.93298298790168,NA,NA,9,-85.4454831880318,191.794192182515,5.80848743825587,0.00692258579561927
"168",71.6458198960179,0.41429130725859,107.927293000636,-0.0212100795234722,-0.243271069153154,-0.854927341294707,NA,NA,0.710693364948166,NA,-2.69423837032236,NA,NA,9,-85.4777740124984,191.858773831449,5.87306908718921,0.00670262033860245
"271",163.521430300807,0.833433256164286,246.075574328887,NA,0.509923175326482,-0.255519134262613,-0.337915058747569,NA,NA,NA,NA,-0.159345101771445,NA,8,-86.9221786984575,192.130071682629,6.14436693837004,0.00585238704362355
"32",221.490329968138,0.763157838984882,332.514251748924,-0.103051230740172,-0.193761908373549,-0.291051237902202,-0.114798993880797,-1.68760782105635,NA,NA,NA,NA,NA,9,-85.63267055874,192.168566923932,6.18286217967241,0.00574081966554016
"135",51.5178235147834,0.570583570091329,77.8966878483567,NA,-0.0603054015329651,-0.663446441032697,NA,NA,NA,NA,-1.2323625335376,NA,NA,7,-88.2127029152267,192.175405830453,6.18970108619416,0.00572122272551999
"92",149.928129467045,0.898635064511352,224.922545158981,-0.123241093309828,-0.139699256737386,NA,0.0553994618692428,-1.36712186726402,NA,-0.442564188795792,NA,NA,NA,9,-85.8447354468425,192.592696700137,6.60699195587728,0.00464381910613114
"284",151.430892812671,0.919269623832147,227.768732063864,-0.0944990198680011,0.75580714011475,NA,-0.109056668778559,-1.81383938171433,NA,NA,NA,-0.477987859394735,NA,9,-85.9091708443507,192.721567495153,6.73586275089374,0.00435402939216048
"622",211.96676621236,1.0062557778442,317.734196036673,0.0137961417510498,NA,-0.0678043091394969,0.0911068983841838,NA,0.343112435665875,-0.493712008963091,NA,NA,0.285277610138751,10,-84.5803120262768,192.767181429603,6.78147668534348,0.00425585101765217
